SYM	MKT	EFD	VAL	VAD	VOL	TRD	OPN	CLS	AVG	LOW	HIG	CLA	CLP	CAA	CAP	UTI	ISI	RPR	RPT	PMK	CRF
BKDAICPL1	DLSP	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.378	ROSP000004H7	96.500000	2	0	96.500000
BKDAICPL1	RGSP	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 10:14:47.744	ROSP000004H7	96.500000	2	1	96.500000
BKDBKTL2	DLSP	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.346	ROSP000004E4	1.195000	2	0	1.255000
BKDBKTL2	RGSP	20181107	396.000000	396.000000	300	1	1.320000	1.320000	1.320000	1.320000	1.320000	0.125000	10.460000	0.125000	10.460000	2018-11-07 17:58:59.444	ROSP000004E4	1.195000	2	1	1.255000
BKDBKTS1	DLSP	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.371	ROSP000004F1	1.420000	2	0	1.355000
BKDBKTS1	RGSP	20181107	589.950000	589.950000	437	1	1.350000	1.350000	1.350000	1.350000	1.350000	-0.070000	-4.930000	-0.070000	-4.930000	2018-11-07 17:59:46.715	ROSP000004F1	1.420000	2	1	1.355000
BKDBKTS2	DLSP	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.301	ROSP000004G9	2.355000	2	0	2.295000
BKDBKTS2	RGSP	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 17:59:20.503	ROSP000004G9	2.355000	2	1	2.295000
BKDOWTL57	DLSP	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.25	RO8XQFBICEL9	10.860000	2	0	12.240000
BKDOWTL57	RGSP	20181107	78403.590000	78403.590000	6486	42	11.780000	12.280000	12.090000	11.780000	12.300000	1.420000	13.080000	1.230000	11.330000	2018-11-07 17:59:53.46	RO8XQFBICEL9	10.860000	2	1	12.240000
BKDOWTS56	DLSP	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.276	ROZEO196YMQ0	8.590000	2	0	7.220000
BKDOWTS56	RGSP	20181107	101117.800000	101117.800000	13665	90	7.750000	7.220000	7.400000	7.120000	7.750000	-1.370000	-15.950000	-1.190000	-13.850000	2018-11-07 17:59:54.985	ROZEO196YMQ0	8.590000	2	1	7.220000
BKDOWTS59	DLSP	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.327	ROVCXIIA4E07	9.200000	2	0	12.160000
BKDOWTS59	RGSP	20181107	1245.420000	1245.420000	99	1	12.580000	12.580000	12.580000	12.580000	12.580000	3.380000	36.740000	3.380000	36.740000	2018-11-07 17:59:53.453	ROVCXIIA4E07	9.200000	2	1	12.160000
BKDOWTS60	DLSP	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.264	RO9YGPRPIXS8	7.220000	2	0	10.180000
BKDOWTS60	RGSP	20181107	1576.420000	1576.420000	149	1	10.580000	10.580000	10.580000	10.580000	10.580000	3.360000	46.540000	3.360000	46.540000	2018-11-07 17:59:58.589	RO9YGPRPIXS8	7.220000	2	1	10.180000
BKJNJCPL1	DLSP	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.394	ROSP000003E6	104.800000	2	0	105.600000
BKJNJCPL1	RGSP	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 17:41:55.44	ROSP000003E6	104.800000	2	1	105.600000
